Ticker,Name
D8TZ.DE,INAVISHPPLETCCHF
^NQEMASIA4000T,The NASDAQ EM Asia Health Care
^NQUSL8600AUDN,NQ US Lg Cap Real Estate AUD NT
^NQEU3300GBP,NASDAQ Europe Auto & Parts GBP
^NQLA3000LMGBPT,NASDAQ Lat Am Cnsmr Goods Lg Md
^NQID3000AUDN,NASDAQ Indonesia Cnsmr Goods AU
CFNDEUR.VI,
^NQEMASIA2300N,The NASDAQ EM Asia Construction
^NQUSB5751LMGBPT,NQ US Airlines Large Mid Cap G
^NQDMMEA8300AUD,NASDAQ DM MEA Banks AUD Index
^NQDMASIA3500EUR,NASDAQ DM Asia Food & Beverage
AXX4500.L,
4NAD.DE,DAXSUB ALL WATR P
^NQLASC,The NASDAQ Latin America Small
^NQPTLMAUDT,NASDAQ Portugal Large Mid Cap A
^NQASIA2000LMGBPT,NASDAQ Asia Inds Large Mid Cap
SFA57T.SW,SBI For AAA-A 5-7 T
^NQASPA3700EURT,NASDAQ ASPA Psnl & Hhld Goods E
^NQUSB9535LMAUD,NQ US Internet Large Mid Cap A
^NQDMEU9000AUDN,NASDAQ DM Europe Tech AUD NTR I
^NQZALCZAR,NASDAQ South Africa Large Cap Z
^NQDMASIA6000JPYT,NASDAQ DM Asia Telecom JPY TR I
0JGR.DE,INAVISMSCIEUSDHCHF
^NQASPASCAUD,NASDAQ ASPA Small Cap AUD Index
^NQAU8000EURT,NASDAQ Australia Financials EUR
^NQEMASIA2700EURT,NASDAQ EM Asia Ind Goods & Svcs
^NQEMASIAMCGBPN,NASDAQ EM Asia Mid Cap GBP NTR
^NQDMXUS2000AUDT,NASDAQ DM Ex US Industrials AUD
AW01.FGI,FTSE All World Index
^NQJP8300AUD,NASDAQ Japan Banks AUD Index
^NQDMASIA9000LM,NASDAQ DM Asia Tech Large Mid C
4MYJ.DE,INAV IS.MSC.FEXJSC ETF LS
^P1SUSTR,Dow Jones Sustainability Asia P
^NQASPA1700LMGBPN,NASDAQ ASPA Basic Resources Lg
^NQDMASPA3700AUDN,NASDAQ DM ASPA Psnl & Hhld Good
^NQUSS3300AUD,NQ US Sm Cap Auto & Parts AUD I
3BR2.DE,DAXGL CH FS USD P
^NQDMASIA1000GBP,NASDAQ DM Asia Basic Matls GBP
^NQASPA1000EUR,NASDAQ ASPA Basic Matls EUR Ind
^NQEMASIA2700CADT,NASDAQ EM Asia Ind Goods & Svcs
WIAMERS4000.L,
^NQMEA3500AUDN,NASDAQ MEA Food & Beverage AUD
SFS12D.SW,SBI For Sup AAA-AA D
3952098.SG,
^NQNA3000LMGBPT,NASDAQ N America Cnsmr Goods Lg
^NQCNMCAUD,NASDAQ China Mid Cap AUD Index
^NQUSS2795EURT,NQ US Sm Cap Financial Admin EU
^NQJP3300LMCADT,NASDAQ Japan Auto & Parts Lg Md
^DJNAJO,Dow Jones North America Select
SFF55Y.SW,SBI For AAA-AA 15+ Y
^NQEMASIA3500GBP,NASDAQ EM Asia Food & Beverage
SGCP2WV.Z,
^NQPTSCAUDN,NASDAQ Portugal Small Cap AUD N
ICE9U.PA,AMUNDI CE9U INAV
^NQEM0001AUDT,NASDAQ Emerging Oil & Gas AUD T
EGAX.L,
^NQDMASPA8000GBP,NASDAQ DM ASPA Financials GBP I
^NQNO3000AUDN,NASDAQ Norway Cnsmr Goods AUD N
SD105P.SW,SBI Dom AAA-BBB 10-15 P
^NQZA3000ZAR,NASDAQ South Africa Cnsmr Goods
AEXLR.AS,AEX LOW RISK
^NQUSB8570AUD,NQ US Bnchmk Life Ins AUD Index
^NQAU5000CAD,NASDAQ Australia Cnsmr Svcs CAD
^NQTR8000AUD,NASDAQ Turkey Financials AUD In
^NQUSS3726AUD,NQ US Sm Cap Furnishings AUD In
^NQBRIC4000AUD,NASDAQ BRIC Health Care AUD Ind
^NQUSS8530AUDT,NQ US Sm Cap Nonlife Ins AUD TR
2694.DE,HSBC MSCI EM INAV EUR
^NQDMASIA9000LMN,NASDAQ DM Asia Tech Large Mid C
^NQMEA5700AUDT,NASDAQ MEA Travel & Leisure AUD
^NQDMASIA2000EURN,NASDAQ DM Asia Inds EUR NTR Ind
^NQAU2000EUR,NASDAQ Australia Inds EUR Index
^NQEMEA2700AUDT,NASDAQ EMEA Ind Goods & Svcs AU
^NQEMEU8600AUD,NASDAQ EM Europe Real Estate AU
^NQLA2000LMJPYN,NASDAQ Lat America Inds Lg Md C
^NQHK4000AUD,NASDAQ Hong Kong Health Care AU
^NQDMASIA3500EURN,NASDAQ DM Asia Food & Beverage
^DWSGAXTR,^DWSGAXTR
^NQNA6000LMAUDT,NASDAQ N America Telecom Lg Md
^NQDMEU1000AUDT,NASDAQ DM Europe Basic Matls AU
^NQUSB7530AUDT,NQ US Bnchmk Eltrcty AUD TR Ind
SD51P.SW,SBI Dom AAA-BBB 5-10 P
^SPADFP1I,S&P Australian Dollar Futures 1
^NQUSAJPY,NASDAQ US All Market JPY Index
G30C.NZ,S&P/NZX ALL CONSUMER STAPLES (S
SBF34T.SW,SBI For A-BBB T
NLTEC.AS,AEX TECHNOLOGY
ST35Y.SW,SBI AAA-BBB 3-5 Y
^NQUSS2713GBP,NQ US Sm Cap Aerospace GBP Inde
^BKCNCHTR,BNY Mellon China Select ADR Tot
EPAS.FGI,
SDNAD.SW,SBI Dom Non-Gov AAA-A D
^NQUSL8570AUD,NQ US Lg Cap Life Ins AUD Index
^NQUSB8771LMEURN,NQ US Asset Managers Large Mid
^NQUSL2713CADN,NQ US Lg Cap Aerospace CAD NTR
^NQEMASIA3700T,The NASDAQ EM Asia Personal & H
3BPK.DE,INAV DBXT LPX CHF
^BKAUT,BNY Mellon Australia ADR Total
7DXU.DE,HSBC FT100 INAV USD
^NQASPAXJPLMJPYT,NASDAQ ASPA Ex Japan Large Mid
^NQEMASIA8700LMN,NASDAQ EM Asia Financial Svcs L
^NQTW3000AUDN,NASDAQ Taiwan Cnsmr Goods AUD N
^NQTR3000AUDT,NASDAQ Turkey Cnsmr Goods AUD T
^NQCNAUDT,NASDAQ China AUD TR Index
^NQDMASPA1000N,The NASDAQ DM ASPA Basic Materi
^NQUSL2750AUD,NQ US Lg Cap Ind Engineering AU
^NQES2000AUD,NASDAQ Spain Inds AUD Index
^NQNA8500N,The NASDAQ North America Insura
^NQEMASIA2300LMT,NASDAQ EM Asia Constr & Matls L
^RAPJUSD,Russell Asia Pacific ex-Japan
^NQUSL8675AUDT,NQ US Lg Cap Specialty REITs AU
NLRE.AS,
SBD12D.SW,SBI Dom AAA-AA D
WIXEBS0580.FGI,
FCAG.EX,
^NQASPA5000LMGBPN,NASDAQ ASPA Cnsmr Svcs Large Mi
^NQZA3000,The NASDAQ South Africa Consume
^NQATMCCADN,NASDAQ Austria Mid Cap CAD NTR
^SPBDAGTT,S&P/ASX Australian Government B
^NQNA3000,The NASDAQ North America Consum
^SIXYTR,Syntax Consumer Products and Se
^NQUSL9578AUD,NQ US Lg Cap Telecom Eqpt AUD I
NLRIS.NX,
4Q88.DE,INAVISHUKG0-5YRUUSD
ALASN.NX,
^NQMY7000AUDT,NASDAQ Malaysia Utilities AUD T
^DWCALU,Dow Jones U.S. Aluminum Total S
AL83.DE,INAV MSCI SCAPEUR
DT5Y.DE,INAVDBXES50FU EUR
^NQEMEU5000AUDN,NASDAQ EM Europe Cnsmr Svcs AUD
^NQJP4000AUDT,NASDAQ Japan Health Care AUD TR
^NQNA5000EURN,NASDAQ N America Cnsmr Svcs EUR
WIAUS5330.L,
^NQBR8000AUDN,NASDAQ Brazil Financials AUD NT
^NQDMASPA4000EUR,NASDAQ DM ASPA Health Care EUR
^NQSGAUDT,NASDAQ Singapore AUD TR Index
^NQUSS5555AUDT,NQ US Sm Cap Media Agncs AUD TR
^NQUSB5555GBPT,NQ US Bnchmk Media Agncs GBP TR
^NQCASCAUD,NASDAQ Canada Small Cap AUD Ind
SFC14Y.SW,SBI For Corp AAA-BBB Y
ST171Y.SW,SBI AAA 7-10 Y
^NQAULCGBPT,NASDAQ Australia Large Cap GBP
